PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,TYPE,"SERVICE PROVIDER","DATE OF INTERRUPTION/ OUTAGE [m/d/Y]","TIME OF INTERRUPTION/ OUTAGE [24:00]","DATE RESTORED [m/d/Y]","TIME RESTORED [24:00]",REMARKS
"ILOCOS NORTE",Adams,"Municipal Wide",Interruption,INEC,2025-11-09,15:23,,,"Partial Power Interruption"
"ILOCOS NORTE",Bacarra,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Badoc,none,Interruption,INEC,2025-11-09,,,,Intermittent
"ILOCOS NORTE",Bangui,none,Interruption,INEC,2025-11-09,16:04,2025-11-10,17:34,"Partial Power Interruption"
"ILOCOS NORTE",Banna,none,Interruption,INEC,2025-11-09,,,,
"ILOCOS NORTE","Batac City",none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Burgos,none,Interruption,INEC,2025-11-10,22:00,,,"50% operational"
"ILOCOS NORTE",Burgos,none,Interruption,INEC,2025-11-09,22:00,,,"33% operational"
"ILOCOS NORTE",Carasi,none,Interruption,INEC,2025-11-09,,,,"100% no power"
"ILOCOS NORTE",Currimao,none,Interruption,INEC,2025-11-09,23:00,,,"55% operational"
"ILOCOS NORTE",Dingras,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Dumalneg,"4 Brgys",Interruption,INEC,2025-11-09,,,,
"ILOCOS NORTE",Laoag,"26 Barangays",Interruption,,2025-11-09,16:04,2025-11-10,17:34,"Partial Power Interruption"
"ILOCOS NORTE",Marcos,none,Interruption,INEC,2025-11-09,,,,
"ILOCOS NORTE","Nueva Era",none,Interruption,INEC,2025-11-09,15:24,2025-11-10,17:00,"Partial Power Interruption"
"ILOCOS NORTE",Pagudpud,"9 BRGYS",Interruption,INEC,2025-11-09,18:44,,,"Partial Power Interruption"
"ILOCOS NORTE",Paoay,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Pasuquin,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Piddig,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Pinili,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE","San Nicolas",none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Sarrat,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Solsona,none,Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS NORTE",Vintar,"Municipal Wide",Interruption,INEC,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Alilem,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Banayoyo,none,Interruption,ISECO,2025-11-09,23:20,,,"Partial Power Interruption"
"ILOCOS SUR",Bantay,none,Interruption,ISECO,2025-11-09,21:00,,,"Partial Power Interruption"
"ILOCOS SUR",Burgos,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Cabugao,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR","Candon City",none,Interruption,ISECO,2025-11-09,23:00,,,"Partial Power Interruption"
"ILOCOS SUR",Caoayan,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Cervantes,none,Interruption,BENECO,2025-11-09,21:45,,,"Partial Power Interruption"
"ILOCOS SUR",Cervantes,none,Interruption,MOPRECO,2025-11-09,20:00,,,
"ILOCOS SUR",Galimuyod,none,Interruption,ISECO,2025-11-09,23:20,2025-11-10,18:00,"Partial Power Interruption<br>(8 Barangays has been partially  restored, while 16 barangays are not yet restored)"
"ILOCOS SUR","Gregorio Del Pilar",none,Interruption,ISECO,2025-11-09,20:49,2025-11-11,18:49,
"ILOCOS SUR",Lidlidda,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Magsingal,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Nagbukel,none,Interruption,ISECO,2025-11-09,09:25,2025-11-10,22:00,"Partial Power Interruption<br>(7 Barangays has been partially  restored, while 5 barangays are not yet restored)"
"ILOCOS SUR",Narvacan,none,Interruption,ISECO,2025-11-09,22:55,,,"Partial Power Interruption"
"ILOCOS SUR",Quirino,none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Salcedo (Baugen),none,Interruption,ISECO,2025-11-09,20:20,2025-11-12,01:30,"Partial Power Interruption"
"ILOCOS SUR",Salcedo (Baugen),none,Interruption,ISECO,2025-11-09,20:50,2025-11-10,18:05,
"ILOCOS SUR",Salcedo (Baugen),none,Interruption,ISECO,2025-11-10,18:30,2025-11-11,13:30,
"ILOCOS SUR","San Emilio",none,Interruption,ISECO,2025-11-09,16:00,2025-11-11,21:00,"Partial Power Interruption"
"ILOCOS SUR","San Esteban",none,Interruption,ISECO,2025-11-09,22:50,2025-11-12,20:00,"Partial Power Interruption"
"ILOCOS SUR","San Ildefonso",none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR","San Juan",none,Interruption,ISECO,2025-11-09,03:30,2025-11-10,08:00,"Partial Power Interruption"
"ILOCOS SUR","San Vicente",none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR",Santa,none,Interruption,ISECO,2025-11-09,23:50,,,"Partial Power Interruption"
"ILOCOS SUR","Santa Catalina",none,Interruption,ISECO,2025-11-09,,,,"Partial Power Interruption"
"ILOCOS SUR","Santa Cruz",none,Interruption,ISECO,2025-11-09,22:00,2025-11-11,09:52,"Partial Power Interruption"
"ILOCOS SUR","Santa Lucia",none,Interruption,ISECO,2025-11-09,,2025-11-11,,"Partial Power Interruption"
"ILOCOS SUR",Santiago,none,Interruption,ISECO,2025-11-09,11:00,2025-11-11,05:00,"Partial Power Interruption"
"ILOCOS SUR","Santa Maria",none,Interruption,ISECO,2025-11-09,23:29,2025-11-10,16:00,"Partial Power Interruption"
"ILOCOS SUR","Santo Domingo",none,Interruption,ISECO,2025-11-09,17:38,,,"Partial Power Interruption"
"ILOCOS SUR",Sigay,none,Interruption,ISECO,2025-11-09,20:38,0025-11-12,19:00,"Partial Power Interruption"
"ILOCOS SUR",Sinait,none,Interruption,ISECO,2025-11-09,03:40,2025-11-10,07:25,"Partial Power Interruption<br>(17 Barangays has been restored, while 27 barangays are not yet restored)"
"ILOCOS SUR",Sinait,none,Interruption,ISECO,2025-11-10,21:25,,,
"ILOCOS SUR",Suyo,Cabugao,Interruption,ISECO,2025-11-09,23:00,,,"Partial Power Interruption"
"ILOCOS SUR",Suyo,"6 Barangays",Interruption,ISECO,2025-11-09,22:43,,,"Man-atong ,Poblacion, Patoc-ao, Urzadan, Uso, Suyo Proper"
"ILOCOS SUR",Suyo,"Bucao East",Interruption,ISECO,2025-11-09,22:43,2025-11-09,19:15,
"ILOCOS SUR",Sugpon,none,Interruption,ISECO,2025-11-09,21:30,2025-11-09,21:30,"Partial Power Interruption"
"ILOCOS SUR",Vigan,"Western Barangays",Interruption,ISECO,2025-11-09,16:00,2025-11-10,11:00,"Partial Power Interruption"
"ILOCOS SUR",Vigan,City-wide,Interruption,ISECO,2025-11-09,22:00,2025-11-10,08:00,
"ILOCOS SUR",Tagudin,Municipal-Wide,Interruption,ISECO,2025-11-09,23:37,2025-11-10,16:00,"Partial Power Interruption"
"ILOCOS SUR",Tagudin,Cabugbugan,Interruption,ISECO,2025-11-09,17:17,2025-11-10,16:00,"Partial Power Interruption"
PANGASINAN,Alaminos,City-wide,Interruption,"PANELCO I",2025-11-09,17:00,2025-11-10,22:00,"Partial Power Interruption<br>40% Restored"
PANGASINAN,Agno,none,Interruption,"PANELCO I",2025-11-09,16:53,2025-11-11,10:00,"Partial Power Interruption"
PANGASINAN,Anda,Municipal-wide,Interruption,,2025-11-09,23:00,,,"Partial Power Interruption<br>80% restored<br>date restored - ongoing validation"
PANGASINAN,Bani,Municipal-wide,Interruption,"PANELCO I",2025-11-09,19:30,2025-11-12,,"Partial Power Interruption<br>90% restored"
PANGASINAN,Bolinao,Municipal-wide,Interruption,"PANELCO I",2025-11-10,02:00,,,"Partial Power Interruption<br>60-70% restored<br>date restored - ongoing validation"
PANGASINAN,Burgos,Municipal-wide,Interruption,"PANELCO I",2025-11-09,16:00,2025-11-10,22:00,"-Partial Power Interruption<br>-1 Brgy. restored"
PANGASINAN,Dasol,Municipal-wide,Interruption,"PANELCO I",2025-11-09,14:00,2025-11-12,09:00,"Partial Power Interruption"
PANGASINAN,Infanta,Municipal-wide,Interruption,"PANELCO I",2025-11-09,14:00,2025-11-11,17:00,"Partial Power Interruption"
PANGASINAN,Mabini,Municipal-wide,Interruption,"PANELCO I",2025-11-09,13:00,,,"Partial Power Interruption"
PANGASINAN,Sual,Municipal-wide,Interruption,CENPELCO,2025-11-09,19:35,2025-11-13,19:00,
PANGASINAN,Aguilar,Municipal-wide,Outage,CENPELCO,2025-11-09,18:30,2025-11-10,22:00,"-Total Power Interruption<br>-90% restored"
PANGASINAN,Basista,Municipal-wide,Interruption,CENPELCO,2025-11-09,18:30,2025-11-11,20:30,"Total Power Interruption"
PANGASINAN,Binmaley,Municipal-wide,Interruption,CENPELCO,2025-11-09,18:21,2025-11-10,22:00,"-Total Power Interruption<br>-20% restored"
PANGASINAN,Bugallon,Municipal-wide,Interruption,CENPELCO,2025-11-09,18:21,2025-11-10,22:00,"-Total Power Interruption<br>-40-50% restored"
PANGASINAN,Labrador,Municipal-wide,Interruption,CENPELCO,2025-11-09,18:00,,,"Total Power Interruption"
PANGASINAN,Lingayen,Municipal-wide,Interruption,CENPELCO,2025-11-09,18:24,,,"Total Power Interruption"
PANGASINAN,Mangatarem,Municipal-wide,Interruption,CENPELCO,2025-11-09,18:21,2025-11-10,22:00,"-Total Power Interruption<br>-50% restored"
PANGASINAN,Urbiztondo,Municipal-wide,Interruption,CENPELCO,2025-11-09,18:21,,,"Total Power Interruption"
PANGASINAN,Bayambang,Municipal-wide,Interruption,CENPELCO,2025-11-09,17:43,2025-11-10,22:00,"-Total Power Interruption<br>-restored"
PANGASINAN,Calasiao,"Portion of San Miguel (Parongking), Bued",Interruption,,2025-11-09,18:00,2025-11-10,22:00,"-Total Power Interruption<br>-50% restored"
PANGASINAN,Malasiqui,Municipal-wide,Interruption,CENPELCO,2025-11-09,19:32,2025-11-09,22:00,"-10% restored"
PANGASINAN,Mapandan,none,Interruption,"PANELCO III",2025-11-09,19:50,2025-11-10,19:30,"Partial Power Interruption<br>80% restored"
PANGASINAN,"San Carlos",City-wide,Interruption,CENPELCO,2025-11-09,17:00,2025-11-10,22:00,"1 barangay Restored"
PANGASINAN,Manaoag,"8 BRGYS",Interruption,"PANELCO III",2025-11-09,22:00,2025-11-10,22:00,"Partial Power Interruption<br>some areas of Manaoag has been restored"
PANGASINAN,Mangaldan,Municipal-wide,Interruption,CENPELCO,2025-11-09,19:00,2025-11-11,22:00,"Total Power Interruption"
PANGASINAN,Alcala,Municipal-wide,Interruption,CENPELCO,2025-11-09,22:00,2025-11-10,22:00,"Total Power Interruption<br>75% restored"
PANGASINAN,Buatista,Municipal-Wide,Interruption,,2025-11-09,18:45,2025-11-12,16:00,"Total Power Interruption"
PANGASINAN,Binalonan,Municipal-wide,Interruption,"PANELCO III",2025-11-09,22:00,2025-11-10,22:00,"Partial Power Interruption<br>12 - 15 brgys are restored"
PANGASINAN,Laoac,Municipal-wide,Interruption,"PANELCO III",2025-11-09,23:00,2025-11-12,15:34,"Partial Power Interruption"
PANGASINAN,Pozorrubio,"6 BRGYS",Interruption,PANELCO,2025-11-09,12:40,2025-11-10,22:00,"27 brgys restored"
PANGASINAN,Villasis,none,Interruption,"PANELCO III",2025-11-09,22:00,2025-11-10,22:00,"Partial Power Interruption<br>19 brgys restored"
PANGASINAN,Asingan,none,Interruption,"PANELCO III",2025-11-09,22:00,2025-11-10,22:00,"Partial Power Interruption<br>16 brgys restored"
PANGASINAN,Balungao,Municipal-wide,Interruption,"PANELCO III",2025-11-09,18:25,,,"Partial Power Interruption"
PANGASINAN,Natividad,Municipal-wide,Interruption,"PANELCO III",2025-11-09,22:30,2025-11-10,11:00,"60% restored"
PANGASINAN,Rosales,Municipal-wide,Interruption,PANELCO,2025-11-09,20:25,2025-11-10,19:18,"intermittent power interruption"
PANGASINAN,"San Manuel",none,Interruption,"PANELCO III",2025-11-09,22:00,2025-11-10,22:00,"Partial Power Interruption"
PANGASINAN,"San Nicolas",Municipal-wide,Interruption,PENLCO,2025-11-09,21:00,2025-11-11,15:30,
PANGASINAN,Tayug,Municipal-wide,Interruption,PANELCO,2025-11-09,23:30,,,
PANGASINAN,Umingan,Municipal-wide,Interruption,"PANELCO III",2025-11-09,22:17,2025-11-10,19:00,Restored
DAGUPAN,Dagupan,City-wide,Interruption,,2025-11-09,23:00,2025-11-09,,
"LA UNION",Agoo,49,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Aringay,24,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Bacnotan,47,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Bagulin,10,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Balaoan,36,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Bangar,33,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Bauang,17,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Bauang,17,Interruption,LUELCO,2025-11-09,01:00,,,"preventive shut-of"
"LA UNION",Burgos,12,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Caba,17,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Luna,40,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Naguilian,37,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Pugo,"14 Barangays",Interruption,LUELCO,2025-11-09,12:30,2025-11-09,14:00,Restored
"LA UNION",Rosario,33,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION","San Fernando",14,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION","San Gabriel",none,Interruption,LUELCO,2025-11-09,01:00,,,"preventive shut-off"
"LA UNION","San Juan",37,Interruption,LUELCO,2025-11-10,01:00,2025-11-11,08:00,"preventive shut-off"
"LA UNION","Santo Tomas",24,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Santol,11,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Sudipen,17,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
"LA UNION",Tubao,18,Interruption,LUELCO,2025-11-10,01:00,,,"preventive shut-off"
